股票代號,股票名稱,產業,最新股價,漲跌幅%,5星總分,K值,D值,J值,MA5,MA20,均線差%,成交量,5日均量,量比,投信連買天數,投信淨買比%,外資連買天數,外資買超張數,投信買超張數,自營商買超張數,DIF,低流動性風險,均線過發散,黑名單否決,更新時間
8112,至上,電子通路,82.6,+0.49%,1,8.9,8.5,9.9,82.76,86.78,4.6,3702,4911.2,0.75,1,13.37,0,-1200,495,-34,-2.1978,正常,正常,🔴否決黑名單,2026-09-23
1477,聚陽,紡織,192.5,+1.05%,1,34.8,34.2,35.8,192.5,194.75,1.2,953,1690.0,0.56,3,4.03,1,434,38,4,-3.9237,正常,正常,🔴否決黑名單,2026-09-23
4749,新應材,半導體材料,726.0,-0.27%,1,35.2,28.8,48.1,734.0,754.2,2.7,655,527.2,1.24,0,0.0,3,122,-210,-3,-15.7752,正常,正常,🔴否決黑名單,2026-09-23
6282,康舒,電子零組件,43.0,+0.00%,1,50.4,40.8,69.5,42.99,43.54,1.3,6342,3150.7,2.01,0,0.0,0,-2169,0,0,-0.9601,正常,正常,🔴否決黑名單,2026-09-23
6274,台燿,電子零組件,1460.0,+1.39%,1,68.6,59.3,87.2,1405.0,1399.0,0.4,6869,12754.8,0.54,2,2.46,1,482,169,24,-6.6406,正常,正常,正常,2026-09-23
2002,中鋼,鋼鐵,18.65,+0.00%,0,8.9,10.9,4.8,18.68,18.91,1.2,25707,25403.9,1.01,0,0.0,0,-4745,-2,289,-0.1161,正常,正常,🔴否決黑名單,2026-09-23
2324,仁寶,電腦週邊,36.8,-0.67%,0,12.5,16.0,5.4,37.31,38.65,3.5,23535,33228.0,0.71,1,0.01,0,-9770,3,164,-0.4589,正常,正常,🔴否決黑名單,2026-09-23
2344,華邦電,半導體,172.5,+0.88%,0,51.7,43.6,67.7,173.4,175.28,1.1,70594,103174.3,0.68,0,0.0,2,10124,-3272,256,-0.4474,正常,正常,🔴否決黑名單,2026-09-23
2883,開發金,金融保險,39.35,+0.13%,0,75.4,82.8,60.6,39.61,37.1,6.8,35038,55247.4,0.63,0,0.0,0,-345,-652,485,2.0058,正常,正常,正常,2026-09-23
1402,遠東新,紡織,27.9,+0.18%,0,35.3,32.9,39.9,27.96,28.4,1.5,5463,10341.1,0.53,2,2.82,1,1264,154,99,-0.0906,正常,正常,🔴否決黑名單,2026-09-23
